stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
70301009651,,"Berlin, Wilhelmsmühlenweg",,52.50855,13.613191,0,900000176008,
70301009652,,S Mahlsdorf (Berlin) [Tram Bus Treskowstr.],,52.511254,13.610653,0,900000176702,
70301009653,,"Berlin, Altes Wasserwerk",,52.447758,13.639371,0,900000182005,
70301009654,,"Berlin, Bruno-Wille-Str.",,52.446974,13.632311,0,900000182507,
70301009655,,"Berlin, Josef-Nawrocki-Str.",,52.446679,13.628947,0,900000182506,
70301009656,,"Berlin, Ahornallee",,52.455606,13.619022,0,900000182503,
70301009657,,"Berlin, Mühlweg",,52.454352,13.613386,0,900000182502,
70301009658,,"Berlin, Westendsiedlung",,52.453361,13.60898,0,900000182501,
70301009660,,"Berlin, Köllnischer Platz",,52.444575,13.569256,0,900000180012,
70301009661,,S Spindlersfeld (Berlin),,52.445938,13.562701,0,900000180003,
70301009662,,"Berlin, Ottomar-Geschke-Str.",,52.441971,13.55953,0,900000180510,
70301009663,,"Berlin, Wassermannstr.",,52.439555,13.552592,0,900000193506,
70301009664,,"Berlin, Marktplatz Adlershof",,52.438106,13.548658,0,900000193505,
70301009666,,S Köpenick (Berlin),,52.458692,13.579543,0,900000180001,
70301009679,,"Berlin, Marktplatz Adlershof",,52.438106,13.548658,0,900000193505,
70301009680,,"Berlin, Wassermannstr.",,52.439555,13.552592,0,900000193506,
70301009681,,"Berlin, Ottomar-Geschke-Str.",,52.441971,13.55953,0,900000180510,
70301009682,,S Spindlersfeld (Berlin),,52.445938,13.562701,0,900000180003,
70301009683,,"Berlin, Köllnischer Platz",,52.444575,13.569256,0,900000180012,
70301009685,,"Berlin, Westendsiedlung",,52.453361,13.60898,0,900000182501,
70301009686,,"Berlin, Mühlweg",,52.454352,13.613386,0,900000182502,
70301009687,,"Berlin, Ahornallee",,52.455606,13.619022,0,900000182503,
70301009688,,"Berlin, Josef-Nawrocki-Str.",,52.446679,13.628947,0,900000182506,
70301009689,,"Berlin, Bruno-Wille-Str.",,52.446974,13.632311,0,900000182507,
70301009690,,"Berlin, Altes Wasserwerk [Ausstieg]",,52.448162,13.640651,0,900000182705,
